聚类种类,第一学年-次消费均价,第一学年-全年消费次数,第一学年-早餐消费次数,第一学年-中餐消费次数,第一学年-晚餐消费次数,第一学年-早餐消费均价,第一学年-中餐消费均价,第一学年-晚餐消费均价,第一学年-全年消费波动性,第一学年-日消费波动性,第一学年-最高值,第一学年-消费极差,第一学年-上四分位点,第一学年-下四分位点
2,791.1945031712473,473.0,237.0,152.0,84.0,444.32489451476795,1184.2763157894738,1058.5714285714287,595.1741405734538,466.832865227439,3200.0,3150.0,1100.0,350.0
1,963.7604456824513,359.0,144.0,144.0,71.0,509.5138888888889,1386.25,1028.1690140845071,633.7066999235781,458.595442315947,4400.0,4300.0,1300.0,500.0
1,1207.2351885098744,557.0,204.0,178.0,175.0,909.2156862745098,1329.4943820224719,1430.2857142857142,792.9271923643757,619.206227998249,4850.0,4750.0,1450.0,750.0
1,865.8730158730159,441.0,134.0,185.0,122.0,394.25373134328356,1283.6216216216217,750.4098360655738,659.8524960701824,498.802271722795,4880.0,4780.0,1100.0,400.0
2,915.8823529411765,476.0,72.0,213.0,191.0,514.4444444444445,1010.7511737089202,961.4136125654451,550.1344786931614,500.963216784223,2900.0,2800.0,1190.0,600.0
2,848.0175438596491,456.0,130.0,171.0,155.0,603.6153846153846,1010.9707602339181,873.2258064516129,588.5013953336252,393.008318034705,3580.0,3480.0,1025.0,500.0
1,1123.7692307692307,403.0,116.0,123.0,164.0,931.1120689655172,1348.219512195122,1091.7012195121952,759.7227992639548,568.513696333709,5370.0,5220.0,1350.0,650.0
2,660.6985769728332,773.0,257.0,260.0,256.0,496.420233463035,744.3461538461538,740.6640625,363.5269627848135,259.999182782723,3300.0,3200.0,700.0,550.0
2,972.0530612244899,245.0,88.0,88.0,69.0,718.1818181818181,1130.715909090909,1093.4782608695652,539.6078912133677,323.339455188019,4000.0,3880.0,1200.0,565.0
1,683.6419437340154,391.0,129.0,135.0,127.0,401.7829457364341,947.1111111111111,689.8740157480315,498.64535400132706,310.066526012059,5420.0,5320.0,800.0,350.0
2,739.3446088794926,473.0,144.0,180.0,149.0,456.4583333333333,842.5555555555555,888.0536912751678,490.5018629552206,375.201259182993,3200.0,3100.0,957.5,437.5
2,914.8268398268398,462.0,72.0,198.0,192.0,435.55555555555554,946.6666666666666,1061.71875,550.6999308284289,471.025740677054,3730.0,3700.0,1100.0,600.0
2,1153.4897959183672,490.0,134.0,170.0,186.0,554.1044776119403,1277.5882352941176,1471.8817204301076,781.5239268540877,623.102476826051,4000.0,3850.0,1540.0,700.0
2,927.63179916318,478.0,126.0,194.0,158.0,492.44444444444446,1115.5670103092784,1043.9240506329113,624.4848700183767,515.227949665973,4000.0,3900.0,1100.0,550.0
1,1327.4418604651162,172.0,12.0,86.0,74.0,1450.0,1212.906976744186,1440.6756756756756,730.6640931328582,323.054196478219,5700.0,5500.0,1425.0,700.0
2,768.8101983002833,706.0,202.0,257.0,247.0,405.0990099009901,913.1906614785992,916.0323886639676,470.52568300259884,415.67126384931,3500.0,3350.0,850.0,500.0
2,955.784469096672,631.0,168.0,225.0,238.0,633.3928571428571,1041.8666666666666,1101.9747899159663,554.2579735746657,484.554864154562,2850.0,2720.0,1200.0,685.0
1,796.4772727272727,264.0,107.0,107.0,50.0,351.77570093457945,1141.214953271028,1010.4,515.9355446088881,318.02066213669,4870.0,4770.0,1100.0,245.0
1,1002.9078014184397,423.0,212.0,145.0,66.0,850.9905660377359,1201.3103448275863,1055.0,651.9328306233114,544.217379897151,4450.0,4300.0,1300.0,550.0
2,542.8087121212121,528.0,193.0,173.0,162.0,214.3678756476684,741.2138728323699,722.2222222222222,389.13160556396673,301.506635275238,2930.0,2830.0,700.0,150.0
2,837.3285198555957,277.0,80.0,117.0,80.0,573.5,1013.3333333333334,843.75,524.8993063322231,291.330429007567,4400.0,4300.0,950.0,500.0
1,853.3220910623946,593.0,226.0,179.0,188.0,520.8407079646017,1232.0670391061453,892.3936170212766,657.1720122952861,500.853539305238,5060.0,4960.0,1050.0,400.0
2,897.3190348525469,373.0,141.0,151.0,81.0,512.1985815602837,1173.112582781457,1053.5802469135801,571.3752783420179,462.321720683374,4170.0,4070.0,1200.0,450.0
2,901.0483870967741,620.0,157.0,235.0,228.0,489.5541401273885,1063.0212765957447,1017.4561403508771,568.8182142465774,511.877532382013,3400.0,3250.0,1100.0,550.0
1,1241.4588235294118,425.0,102.0,156.0,167.0,908.8235294117648,1281.3461538461538,1407.3652694610778,767.472652169901,598.519784918425,5070.0,4920.0,1500.0,822.5
1,1206.8235294117646,340.0,108.0,120.0,112.0,747.7777777777778,1430.25,1410.0892857142858,807.1928611398748,525.297446765692,6660.0,6560.0,1400.0,675.0
2,1078.0787401574803,635.0,179.0,225.0,231.0,658.7150837988827,1288.2222222222222,1198.3549783549784,688.5351712420535,594.684661472736,3970.0,3920.0,1350.0,700.0
1,1012.9822485207101,338.0,125.0,116.0,97.0,585.904,1330.4310344827586,1183.7113402061855,744.952405044179,466.445965654488,5750.0,5630.0,1200.0,450.0
1,999.0560471976402,339.0,115.0,129.0,95.0,620.0,1171.4728682170542,1223.7894736842106,622.0964364406614,407.931501597058,5600.0,5400.0,1200.0,600.0
2,1164.3991416309013,466.0,51.0,208.0,207.0,745.2941176470588,1186.5384615384614,1245.4106280193237,660.8367759739529,625.123283477987,3400.0,3220.0,1340.0,950.0
1,1209.9788583509514,473.0,99.0,193.0,181.0,639.1919191919192,1364.4559585492227,1357.4585635359117,811.1455049729651,638.123681801418,4960.0,4910.0,1700.0,600.0
3,1151.6571428571428,350.0,107.0,140.0,103.0,834.1121495327103,1404.357142857143,1138.0582524271845,778.3274517418674,555.971710344484,7500.0,7400.0,1470.0,600.0
2,1004.2532467532468,308.0,80.0,117.0,111.0,589.125,1150.1709401709402,1149.6396396396397,608.3355993605131,435.278188232452,4200.0,4050.0,1200.0,600.0
2,981.9767441860465,258.0,74.0,110.0,74.0,642.4324324324324,1139.5454545454545,1087.2972972972973,560.4498349710992,362.792143536284,3700.0,3600.0,1200.0,600.0
1,1115.994623655914,186.0,63.0,74.0,49.0,721.8253968253969,1316.8918918918919,1319.3877551020407,584.435191571768,325.049832189235,5300.0,5200.0,1300.0,600.0
2,888.1155115511551,303.0,72.0,119.0,112.0,589.7083333333334,1032.1008403361345,926.9642857142857,492.92678328461267,328.872584153116,3000.0,2850.0,1000.0,600.0
2,586.9646182495344,537.0,119.0,231.0,187.0,335.6302521008403,733.2900432900433,566.1497326203208,379.754202792614,337.949242854243,2450.0,2350.0,600.0,350.0
2,773.6186440677966,590.0,160.0,216.0,214.0,361.78125,934.2129629629629,919.4392523364486,561.8758215134919,464.04099010265,4400.0,4250.0,900.0,400.0
2,868.8631578947368,475.0,112.0,182.0,181.0,460.625,1023.7912087912088,965.6906077348066,524.6737968300856,426.959236298686,3150.0,3050.0,1100.0,600.0
1,1032.0183486238532,545.0,162.0,198.0,185.0,618.5185185185185,1235.5050505050506,1176.3243243243244,684.9394700462626,560.656241602706,5540.0,5440.0,1200.0,650.0
1,1139.7810218978102,411.0,122.0,153.0,136.0,619.016393442623,1369.3464052287582,1348.6764705882354,750.2523104634913,585.427917544297,4600.0,4500.0,1500.0,600.0
2,621.4846416382253,586.0,194.0,208.0,184.0,409.63917525773195,868.3653846153846,565.7608695652174,423.9949935324652,327.462861620033,4050.0,3950.0,800.0,350.0
2,1004.3887775551102,499.0,119.0,181.0,199.0,626.1344537815127,1123.8121546961327,1121.9597989949748,609.4037172875699,502.497882958084,3600.0,3500.0,1130.0,720.0
2,1093.4498933901918,469.0,122.0,186.0,161.0,641.3934426229508,1313.225806451613,1182.0993788819876,713.3419005884833,547.633499753838,3900.0,3800.0,1400.0,700.0
1,1233.8235294117646,442.0,112.0,158.0,172.0,565.9821428571429,1409.620253164557,1507.2093023255813,830.0085284420286,676.123241220074,4390.0,4290.0,1800.0,550.0
2,963.4584980237154,506.0,174.0,179.0,153.0,532.2988505747127,1256.4245810055866,1111.045751633987,673.0276009791561,559.547558956157,3900.0,3800.0,1200.0,500.0
2,1117.683741648107,449.0,167.0,135.0,147.0,1087.185628742515,1035.6296296296296,1227.687074829932,717.0529320601997,516.396299728735,3740.0,3640.0,1500.0,650.0
3,1141.857142857143,462.0,88.0,205.0,169.0,650.4318181818181,1398.2439024390244,1086.7455621301774,770.8122441547454,593.085848115626,8160.0,8060.0,1400.0,700.0
2,802.0322580645161,310.0,154.0,96.0,60.0,614.4155844155844,1044.1666666666667,896.1666666666666,501.7905738801507,317.538176447033,4130.0,4030.0,1000.0,450.0
2,1030.8349900596422,503.0,161.0,183.0,159.0,738.3850931677018,1198.8524590163934,1133.5849056603774,633.9132025577792,484.275249627141,3350.0,3150.0,1200.0,700.0
