序号,综合评价,排名
1597,0.9761,1
2914,0.9389,2
2852,0.9321,3
4410,0.9228,4
921,0.9222,5
2033,0.9218,6
4469,0.8916,7
5365,0.8844,8
4342,0.8807,9
809,0.8783,10
2961,0.8725,11
2741,0.8690,12
5188,0.8623,13
3270,0.8621,14
569,0.8610,15
3061,0.8608,16
3407,0.8562,17
3452,0.8549,18
3736,0.8457,19
4419,0.8425,20
2063,0.8326,21
3196,0.8265,22
2836,0.8260,23
1105,0.8223,24
1007,0.8200,25
2615,0.8184,26
2806,0.8165,27
841,0.8144,28
3738,0.8130,29
4345,0.8062,30
1383,0.8025,31
2711,0.7958,32
433,0.7916,33
4204,0.7888,34
8,0.7848,35
974,0.7792,36
2984,0.7723,37
5160,0.7721,38
205,0.7696,39
4329,0.7688,40
404,0.7632,41
2981,0.7614,42
2503,0.7593,43
2834,0.7558,44
104,0.7538,45
4435,0.7524,46
4036,0.7520,47
4950,0.7519,48
741,0.7505,49
483,0.7463,50
2353,0.7456,51
92,0.7438,52
216,0.7401,53
3149,0.7357,54
4114,0.7341,55
1784,0.7336,56
4374,0.7321,57
1091,0.7320,58
2075,0.7300,59
5403,0.7281,60
1305,0.7257,61
2426,0.7257,62
1236,0.7249,63
2496,0.7243,64
581,0.7226,65
900,0.7194,66
3133,0.7190,67
4376,0.7185,68
4211,0.7179,69
116,0.7162,70
2551,0.7141,71
4208,0.7121,72
58,0.7109,73
745,0.7098,74
3145,0.7095,75
1261,0.7094,76
2596,0.7089,77
3735,0.7079,78
3765,0.7061,79
4251,0.7055,80
252,0.7052,81
2017,0.7039,82
2407,0.7021,83
2517,0.7016,84
1566,0.7004,85
3555,0.7003,86
443,0.6996,87
4125,0.6983,88
4265,0.6971,89
2298,0.6945,90
1210,0.6914,91
430,0.6884,92
3073,0.6883,93
4238,0.6880,94
391,0.6844,95
4213,0.6838,96
4579,0.6827,97
987,0.6820,98
2940,0.6815,99
4173,0.6812,100
590,0.6806,101
2756,0.6803,102
2395,0.6801,103
3774,0.6796,104
4616,0.6784,105
962,0.6778,106
2335,0.6748,107
2442,0.6738,108
571,0.6732,109
1995,0.6721,110
4352,0.6709,111
2529,0.6703,112
825,0.6702,113
2760,0.6701,114
4331,0.6687,115
3361,0.6682,116
875,0.6681,117
2502,0.6676,118
1298,0.6676,119
2635,0.6663,120
1239,0.6658,121
2658,0.6648,122
2394,0.6647,123
2391,0.6642,124
2672,0.6625,125
2963,0.6618,126
1095,0.6616,127
1451,0.6612,128
4901,0.6599,129
1532,0.6598,130
4051,0.6597,131
3213,0.6583,132
5243,0.6575,133
528,0.6569,134
257,0.6554,135
344,0.6541,136
3358,0.6538,137
2997,0.6517,138
2467,0.6510,139
2126,0.6509,140
